"sample_id","subject_id","survey_timestamp","check_point","class"
"7_1","7",2022-11-23 14:40:10.5,"1","Subject"
"15_1","15",2022-11-23 19:23:44,"1","Subject"
"16_1","16",2022-11-23 15:47:58.5,"1","Subject"
"19_1","19",2022-11-23 15:37:44.5,"1","Subject"
"20_1","20",2022-11-23 18:48:44,"1","Subject"
"24_1","24",2022-11-27 00:21:11,"1","Subject"
"25_1","25",2022-11-28 12:57:59.5,"1","Subject"
"29_1","29",2022-11-25 11:17:03.5,"1","Subject"
"34_1","34",2022-11-24 01:35:07,"1","Subject"
"35_1","35",2022-11-24 16:53:51.5,"1","Subject"
"39_1","39",2022-11-23 15:57:12,"1","Subject"
"40_1","40",2022-11-24 01:59:34.5,"1","Subject"
"41_1","41",2022-11-24 02:32:26.5,"1","Subject"
"43_1","43",2022-11-24 19:17:51.5,"1","Subject"
"46_1","46",2022-11-23 16:26:20,"1","Subject"
"47_1","47",2022-11-23 19:36:25.5,"1","Subject"
"48_1","48",2022-11-29 03:18:37,"1","Subject"
"49_1","49",2022-11-23 20:30:23.5,"1","Subject"
"50_1","50",2022-11-23 15:13:19,"1","Subject"
"51_1","51",2022-11-24 06:33:10,"1","Subject"
"63_1","63",2022-11-26 23:35:37.5,"1","Subject"
"65_1","65",2022-11-26 11:04:34,"1","Subject"
"66_1","66",2022-11-23 16:56:54,"1","Subject"
"67_1","67",2022-11-23 15:43:35.5,"1","Subject"
"68_1","68",2022-11-24 02:42:54,"1","Subject"
"69_1","69",2022-11-24 20:25:31.5,"1","Subject"
"74_1","74",2022-11-23 19:11:12,"1","Subject"
"78_1","78",2022-11-23 18:49:53.5,"1","Subject"
"79_1","79",2022-11-23 15:33:15,"1","Subject"
"81_1","81",2022-11-23 19:28:46.5,"1","Subject"
"87_1","87",2022-11-24 03:22:27.5,"1","Subject"
"88_1","88",2022-11-24 07:53:49,"1","Subject"
"89_1","89",2022-11-25 07:29:19,"1","Subject"
"91_1","91",2022-11-24 00:51:38.5,"1","Subject"
"97_1","97",2022-11-23 15:04:02.5,"1","Subject"
"101_1","101",2022-11-23 16:38:57.5,"1","Subject"
