"resilience_total","cdrisc_1","cdrisc_2","cdrisc_3","cdrisc_4","cdrisc_5","cdrisc_6","cdrisc_7","cdrisc_8","cdrisc_9","cdrisc_10","gfma_1_r","gfma_2","gfma_3","gfma_4_r","gfma_5","gfma_6","gfma_7_r","gfma_8_r","gfma_9","gfma_10","gfma_11_r","gfma_12_r","gfma_13","gfma_14_r","gfma_15","gfma_16_r","gfma_17_r","gfma_18","gfma_19","gfma_20_r","gfma_total","gratitude_total","gratitude_1","gratitude_2","gratitude_3_r","gratitude_4","gratitude_5","gratitude_6_r","self_efficacy_total","gse_1","gse_2","gse_3","gse_4","gse_5","gse_6","gse_7","gse_8","gse_9","gse_10","burnout_total","burnout_disengagement","burnout_exhaustion","olbi_1","olbi_2_r","olbi_3_r","olbi_4_r","olbi_5","olbi_6_r","olbi_7","olbi_8_r","olbi_9_r","olbi_10","olbi_11_r","olbi_12_r","olbi_13","olbi_14","olbi_15","olbi_16","perma_pos_emotions","perma_engagement","perma_relationships","perma_meaning","perma_accomplishment","perma_wellbeing","perma_neg_emotion","perma_health","perma_1","perma_2","perma_3","perma_4","perma_5","perma_6","perma_7","perma_8","perma_9","perma_10","perma_11","perma_12","perma_13","perma_14","perma_15","perma_16","perma_17","perma_18","perma_19","perma_20","perma_21","perma_22","perma_23","pfi_fulfillment","pfi_emotexhaust","pfi_disengagement","pfi_1","pfi_2","pfi_3","pfi_4","pfi_5","pfi_6","pfi_7","pfi_8","pfi_9","pfi_10","pfi_11","pfi_12","pfi_13","pfi_14","pfi_15","pfi_16","pss_total","pss_1","pss_2","pss_3","pss_4_r","pss_5_r","pss_6","pss_7_r","pss_8_r","pss_9","pss_10","dom1","dom2","dom3","dom4","who_1","who_2","who_3_r","who_4_r","who_5","who_6","who_7","who_8","who_9","who_10","who_11","who_12","who_13","who_14","who_15","who_16","who_17","who_18","who_19","who_20","who_21","who_22","who_23","who_24","who_25","who_26_r"
19,2,2,1,2,2,2,3,2,2,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,2,2,2,0,1,1,26,20,4,3,2,3,6,2,28,3,3,2,2,3,3,3,3,3,3,47,24,23,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,4,2.66666666666667,2,3,2.625,7.66666666666667,0,2,2,5,0,2,2,9,2,2,2,2,9,0,7,5,5,2,0,1,7,5,2,1,1.33333333333333,3.25,2,0,1,1,3,2,1,2,3,4,4,2,2,2,2,2,2,28,3,2,3,2,3,3,3,3,3,3,9.71428571428571,6.4,5.33333333333333,9,2,1,3,4,2,2,3,4,2,0,0,0,1,2,3,3,2,2,1,1,1,2,3,3,3,3
27,3,3,3,2,4,3,3,2,2,2,1,1,1,2,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,15,39,7,7,7,6,7,5,31,4,3,2,3,3,4,3,3,3,3,43,23,20,2,3,2,3,2,3,3,2,4,3,2,3,4,1,3,3,5,4.33333333333333,3.66666666666667,4,2.66666666666667,4.0625,3.33333333333333,6.33333333333333,3,1,3,6,4,4,6,2,3,5,6,7,6,1,6,5,6,7,1,3,4,6,6,0.333333333333333,2,1.83333333333333,1,0,0,1,0,0,3,1,3,1,1,1,1,2,3,3,15,1,2,2,1,2,2,1,2,1,1,15.4285714285714,9.6,9.33333333333333,16.5,4,4,4,5,2,3,3,4,4,3,3,4,4,3,4,4,3,4,2,2,2,3,4,5,5,2
40,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,6,40,7,7,7,6,6,7,37,4,4,4,3,3,4,3,4,4,4,29,14,15,1,3,1,2,1,2,2,2,1,2,1,1,4,2,2,2,7.66666666666667,7.66666666666667,9,7.66666666666667,8.33333333333333,8,4,7.66666666666667,8,8,8,9,8,9,4,8,7,8,8,2,5,3,9,9,8,9,9,5,7,7,7,3,0,0,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,13,2,1,3,1,1,1,0,1,2,1,16.5714285714286,11.2,14.6666666666667,13,4,3,4,5,4,3,4,4,4,3,2,2,3,3,5,4,4,4,2,4,4,3,4,2,4,3
36,4,4,2,4,4,2,4,4,4,4,0,0,0,0,0,0,2,0,1,0,0,2,0,1,2,1,1,0,0,2,12,22,2,2,6,5,5,2,37,4,4,3,3,4,4,4,4,4,3,32,17,15,2,2,3,2,1,2,2,2,2,2,2,3,3,1,1,2,4,7,4,4.33333333333333,5.33333333333333,4.875,3,1,5,3,8,1,5,3,3,3,3,3,4,8,1,5,4,10,5,1,5,1,9,4,4,2.5,0.75,0,2,3,2,3,3,2,0,0,2,1,0,0,0,0,0,0,18,2,2,3,1,3,1,2,1,2,1,16,7.2,10.6666666666667,9.5,2,1,5,4,2,3,3,4,2,3,0,0,3,3,5,2,5,4,2,2,2,4,2,2,3,2
27,2,2,4,2,2,4,3,3,3,2,0,1,0,1,1,0,1,0,1,2,1,1,0,0,1,0,1,0,0,0,11,40,7,7,7,6,6,7,30,4,3,3,3,3,4,2,3,3,2,45,20,25,2,4,2,4,3,3,2,3,2,2,3,4,3,2,3,3,4.66666666666667,5.66666666666667,2.66666666666667,7,6.33333333333333,5.375,5.66666666666667,4.33333333333333,7,7,6,5,3,2,8,8,8,5,3,7,2,3,6,4,6,6,0,6,8,6,7,2.33333333333333,2.25,1.5,2,2,2,3,3,2,2,3,2,2,1,1,1,1,1,4,24,3,3,3,2,2,3,2,2,2,2,14.2857142857143,15.2,8,10.5,3,1,3,4,4,5,3,3,4,2,4,1,1,1,5,4,4,3,4,3,2,1,4,5,2,2
25,2,4,1,2,2,4,3,1,4,2,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,4,42,7,7,7,7,7,7,30,4,3,3,2,3,4,2,3,3,3,30,13,17,2,3,2,4,2,2,1,2,1,1,2,2,2,2,1,1,8.66666666666667,8.33333333333333,7.66666666666667,6.66666666666667,7.33333333333333,7.8125,5,6.66666666666667,8,8,7,7,8,6,5,9,7,9,8,3,3,5,10,5,5,10,7,5,10,9,9,3.5,1,0.833333333333333,4,4,4,2,4,3,2,1,1,0,1,1,0,1,1,1,24,3,2,4,1,3,3,2,2,1,3,15.4285714285714,13.6,12,13,3,3,4,5,5,4,3,4,3,3,1,2,4,3,5,4,3,3,4,3,3,3,4,3,3,3
22,3,3,1,3,2,2,2,2,2,2,0,1,1,0,1,2,0,0,1,1,2,1,0,2,2,1,1,1,2,0,19,24,6,6,3,3,3,3,28,3,3,2,3,3,3,2,3,3,3,48,26,22,2,3,3,4,2,4,3,2,3,3,3,3,4,2,4,3,3.33333333333333,3.66666666666667,3.33333333333333,4.66666666666667,4.66666666666667,4,7,1,4,3,4,2,3,1,7,8,5,4,4,8,0,7,6,3,5,1,3,7,3,3,5,2.16666666666667,2.25,2.66666666666667,1,3,1,4,3,1,1,3,3,2,3,2,2,3,3,3,20,2,2,2,1,2,1,1,3,3,3,13.1428571428571,8,9.33333333333333,8.5,3,1,4,5,2,2,2,2,3,1,0,2,2,1,4,2,3,4,2,2,4,1,2,3,2,4
34,3,4,4,3,3,3,3,3,4,4,0,1,1,0,0,1,1,2,1,1,1,1,1,1,1,0,1,1,1,2,18,42,7,7,7,7,7,7,30,3,3,3,3,3,3,3,3,3,3,50,25,25,4,3,3,4,2,3,3,4,3,2,3,3,3,3,3,4,7,7.33333333333333,8.33333333333333,7.33333333333333,6.66666666666667,7.3125,2.66666666666667,2.66666666666667,8,7,7,3,7,8,3,6,7,8,8,2,2,3,10,7,7,3,7,2,7,6,7,1.16666666666667,3,2.16666666666667,1,1,1,1,1,2,3,3,3,3,3,3,1,2,2,2,11,1,1,2,1,0,2,1,1,1,1,12.5714285714286,12.8,16,12.5,4,2,3,3,4,5,3,2,4,2,1,1,2,3,4,4,3,3,4,4,3,5,5,4,4,2
31,4,3,4,2,4,2,3,4,3,2,1,1,2,1,1,2,1,0,1,1,1,1,0,0,2,2,1,0,0,1,19,36,6,6,6,5,7,6,31,3,3,2,3,3,4,3,3,4,3,48,28,20,3,3,4,2,2,2,4,3,4,2,3,2,4,2,4,4,5,8.66666666666667,2,4.33333333333333,4.33333333333333,4.75,4.66666666666667,7.66666666666667,3,3,9,7,5,1,6,2,4,6,7,10,7,5,2,8,6,9,3,3,10,4,3,0.833333333333333,3.25,1.66666666666667,1,0,0,2,0,2,4,2,3,4,1,0,1,0,4,4,21,2,1,2,2,2,2,1,3,3,3,13.1428571428571,12,5.33333333333333,8.5,3,3,4,5,3,3,3,3,1,2,3,1,3,1,4,2,3,3,3,2,1,1,1,2,5,3
21,3,2,2,1,2,2,2,2,2,3,1,1,1,1,2,2,1,1,0,0,1,1,1,1,1,2,1,1,1,2,22,28,6,6,4,5,5,2,20,2,2,2,2,2,2,2,2,2,2,37,18,19,2,3,2,2,2,3,2,3,2,2,2,2,2,3,3,2,7,8,5.33333333333333,8,7,7.0625,7,6,8,6,8,7,7,4,9,7,8,7,8,9,4,4,7,8,8,7,5,8,8,7,7,3,2,1,3,3,3,3,3,3,2,2,2,2,1,1,1,1,1,1,17,3,2,2,1,2,3,1,1,1,1,13.7142857142857,11.2,12,14.5,4,3,5,5,3,3,4,4,3,3,1,3,3,3,4,3,2,2,3,2,4,3,4,4,5,4
