"sample_id","subject_id","survey_timestamp","check_point","class"
"5_1","5",2022-11-23 17:21:30,"1","Subject"
"6_1","6",2022-11-23 15:21:30,"1","Subject"
"7_1","7",2022-11-23 14:39:30,"1","Subject"
"10_1","10",2022-11-23 19:27:30,"1","Subject"
"11_1","11",2022-11-23 18:11:00,"1","Subject"
"12_1","12",2022-11-23 18:19:00,"1","Subject"
"13_1","13",2022-11-23 16:23:00,"1","Subject"
"15_1","15",2022-11-23 19:23:00,"1","Subject"
"16_1","16",2022-11-23 15:47:30,"1","Subject"
"17_1","17",2022-11-23 15:22:30,"1","Subject"
"19_1","19",2022-11-23 15:37:00,"1","Subject"
"20_1","20",2022-11-23 18:48:30,"1","Subject"
"23_1","23",2022-11-23 17:00:00,"1","Subject"
"24_1","24",2022-11-27 00:20:30,"1","Subject"
"25_1","25",2022-11-28 12:57:30,"1","Subject"
"28_1","28",2022-11-28 03:29:00,"1","Subject"
"29_1","29",2022-11-25 11:16:30,"1","Subject"
"30_1","30",2022-11-23 21:57:00,"1","Subject"
"33_1","33",2022-11-26 19:30:00,"1","Subject"
"34_1","34",2022-11-24 01:34:30,"1","Subject"
"35_1","35",2022-11-24 16:53:30,"1","Subject"
"39_1","39",2022-11-23 15:57:00,"1","Subject"
"40_1","40",2022-11-24 01:59:00,"1","Subject"
"41_1","41",2022-11-24 02:32:00,"1","Subject"
"43_1","43",2022-11-24 19:17:00,"1","Subject"
"44_1","44",2022-11-23 18:14:00,"1","Subject"
"46_1","46",2022-11-23 16:26:00,"1","Subject"
"47_1","47",2022-11-23 19:36:00,"1","Subject"
"48_1","48",2022-11-29 03:18:00,"1","Subject"
"49_1","49",2022-11-23 20:30:00,"1","Subject"
"50_1","50",2022-11-23 15:13:00,"1","Subject"
"51_1","51",2022-11-24 06:32:30,"1","Subject"
"53_1","53",2022-11-23 16:02:00,"1","Subject"
"56_1","56",2022-11-24 00:11:30,"1","Subject"
"63_1","63",2022-11-26 23:35:00,"1","Subject"
"65_1","65",2022-11-26 11:04:00,"1","Subject"
"66_1","66",2022-11-23 16:56:00,"1","Subject"
"67_1","67",2022-11-23 15:43:00,"1","Subject"
"68_1","68",2022-11-24 02:42:30,"1","Subject"
"69_1","69",2022-11-24 20:25:00,"1","Subject"
"74_1","74",2022-11-23 19:11:00,"1","Subject"
"75_1","75",2022-12-02 04:48:00,"1","Subject"
"77_1","77",2022-11-27 19:57:30,"1","Subject"
"78_1","78",2022-11-23 18:49:30,"1","Subject"
"79_1","79",2022-11-23 15:32:30,"1","Subject"
"81_1","81",2022-11-23 19:28:30,"1","Subject"
"85_1","85",2022-11-23 17:23:30,"1","Subject"
"87_1","87",2022-11-24 03:22:00,"1","Subject"
"88_1","88",2022-11-24 07:53:30,"1","Subject"
"89_1","89",2022-11-25 07:29:00,"1","Subject"
"91_1","91",2022-11-24 00:51:00,"1","Subject"
"94_1","94",2022-11-23 17:39:30,"1","Subject"
"97_1","97",2022-11-23 15:03:30,"1","Subject"
"100_1","100",2022-11-24 16:24:00,"1","Subject"
"101_1","101",2022-11-23 16:38:30,"1","Subject"
"102_1","102",2022-11-24 09:06:00,"1","Subject"
"103_1","103",2022-11-25 01:51:30,"1","Subject"
"105_1","105",2022-11-23 16:01:30,"1","Subject"
"106_1","106",2022-11-27 00:19:00,"1","Subject"
"110_1","110",2022-11-25 07:55:30,"1","Subject"
"111_1","111",2022-11-28 07:41:00,"1","Subject"
"112_1","112",2022-11-25 16:53:00,"1","Subject"
"113_1","113",2022-11-24 16:10:00,"1","Subject"
"114_1","114",2022-11-23 16:54:30,"1","Subject"
"115_1","115",2022-11-23 16:09:00,"1","Subject"
"116_1","116",2022-11-23 16:02:30,"1","Subject"
"119_1","119",2022-11-24 17:43:30,"1","Subject"
"121_1","121",2022-11-23 16:01:00,"1","Subject"
"122_1","122",2022-11-29 10:41:30,"1","Subject"
"123_1","123",2022-11-24 16:34:30,"1","Subject"
"125_1","125",2022-11-28 00:24:00,"1","Subject"
"126_1","126",2022-11-27 10:12:00,"1","Subject"
"127_1","127",2022-11-23 16:33:00,"1","Subject"
"128_1","128",2022-11-25 23:52:00,"1","Subject"
"129_1","129",2022-11-23 17:37:30,"1","Subject"
"130_1","130",2022-11-26 16:20:00,"1","Subject"
"131_1","131",2022-11-25 11:24:00,"1","Subject"
"133_1","133",2022-11-27 05:03:00,"1","Subject"
"134_1","134",2022-11-27 11:32:30,"1","Subject"
"135_1","135",2022-11-23 17:33:30,"1","Subject"
"137_1","137",2022-11-23 20:31:00,"1","Subject"
"138_1","138",2022-11-28 06:46:00,"1","Subject"
"141_1","141",2022-11-24 00:31:00,"1","Subject"
"142_1","142",2022-11-24 16:47:30,"1","Subject"
"148_1","148",2022-12-04 16:08:00,"1","Subject"
"149_1","149",2022-11-24 14:17:00,"1","Subject"
"150_1","150",2022-11-23 17:50:00,"1","Subject"
"151_1","151",2022-11-24 09:38:00,"1","Subject"
"152_1","152",2022-11-29 00:30:00,"1","Subject"
"153_1","153",2022-11-25 16:53:30,"1","Subject"
"156_1","156",2022-11-24 21:36:00,"1","Subject"
"157_1","157",2022-11-29 11:40:00,"1","Subject"
"159_1","159",2022-11-24 04:02:30,"1","Subject"
"161_1","161",2022-11-24 07:32:30,"1","Subject"
"162_1","162",2022-11-26 01:32:30,"1","Subject"
"163_1","163",2022-11-23 17:08:00,"1","Subject"
"164_1","164",2022-11-24 12:32:00,"1","Subject"
"165_1","165",2022-11-26 07:16:00,"1","Subject"
"167_1","167",2022-11-23 18:21:00,"1","Subject"
"168_1","168",2022-11-23 17:22:00,"1","Subject"
"169_1","169",2022-11-23 21:51:00,"1","Subject"
"170_1","170",2022-11-27 09:59:00,"1","Subject"
"171_1","171",2022-11-26 19:36:00,"1","Subject"
"172_1","172",2022-11-23 18:35:00,"1","Subject"
"176_1","176",2022-11-25 19:08:00,"1","Subject"
"178_1","178",2022-11-24 01:09:30,"1","Subject"
"182_1","182",2022-11-23 18:41:30,"1","Subject"
"183_1","183",2022-11-30 18:01:30,"1","Subject"
"184_1","184",2022-12-01 20:52:00,"1","Subject"
"186_1","186",2022-11-23 16:55:00,"1","Subject"
"191_1","191",2022-11-26 23:03:00,"1","Subject"
"195_1","195",2022-11-27 03:55:00,"1","Subject"
"197_1","197",2022-11-24 06:47:30,"1","Subject"
"198_1","198",2022-11-24 03:35:30,"1","Subject"
"200_1","200",2022-11-23 22:30:00,"1","Subject"
"201_1","201",2022-11-25 00:17:00,"1","Subject"
"203_1","203",2022-11-24 00:15:30,"1","Subject"
"204_1","204",2022-11-24 04:33:00,"1","Subject"
"205_1","205",2022-11-24 07:21:30,"1","Subject"
"206_1","206",2022-12-01 13:52:00,"1","Subject"
"207_1","207",2022-11-24 06:18:30,"1","Subject"
"208_1","208",2022-11-24 02:28:30,"1","Subject"
"209_1","209",2022-11-23 18:33:00,"1","Subject"
"211_1","211",2022-11-24 19:23:30,"1","Subject"
"212_1","212",2022-11-27 10:53:00,"1","Subject"
"213_1","213",2022-11-24 07:47:30,"1","Subject"
"214_1","214",2022-11-26 05:25:30,"1","Subject"
